tiempo_ms,estado,ax,ay,az,gx,gy,gz,angulo
7699,CAMINANDO,-4.872,-2.490,3.620,0.587,0.264,-1.444,126.326,6.561,1.581
7909,CAMINANDO,-5.033,-6.043,3.726,0.551,1.413,-2.432,102.118,8.702,2.866
8119,CAMINANDO,-6.393,-9.129,3.323,1.246,0.667,-2.302,90.546,11.630,2.701
8329,CAMINANDO,-5.878,-8.131,2.854,-0.550,-0.243,1.048,89.844,10.431,1.208
8539,CAMINANDO,-5.162,-8.485,3.675,-0.389,-1.364,2.861,94.247,10.590,3.193
8749,CAMINANDO,-3.805,-0.678,5.181,-1.076,0.247,0.881,152.994,6.464,1.412
8959,CAMINANDO,-4.813,-4.769,4.267,2.237,0.229,-2.248,112.254,8.007,3.180
9169,CAMINANDO,-4.568,-7.995,3.862,1.352,1.020,-3.437,96.795,9.985,3.832
9379,CAMINANDO,-5.844,-8.878,2.646,-0.680,0.432,0.475,87.205,10.953,0.935
9589,CAMINANDO,-5.952,-10.774,3.874,-1.781,-0.109,3.905,90.798,12.904,4.293
9799,CAMINANDO,-2.231,1.520,5.038,-0.865,0.574,1.817,177.845,5.716,2.093
10009,CAMINANDO,-8.220,-4.207,1.472,-2.032,1.822,-0.167,92.822,9.350,2.734
10219,CAMINANDO,-6.290,-1.542,-0.680,-8.936,-0.815,-5.845,59.680,6.512,10.709
10429,CAMINANDO,-3.536,-6.424,-4.372,-1.608,-2.097,-3.289,38.561,8.537,4.219
10639,CAMINANDO,-2.852,-8.382,-6.929,-2.035,0.641,1.033,38.529,11.243,2.371
10849,CAMINANDO,-2.289,-4.413,-8.244,-1.386,1.095,-0.676,25.501,9.626,1.892
11059,CAMINANDO,-1.626,-4.544,-8.260,0.695,0.166,0.230,29.470,9.567,0.750
